xtype	sim_id	trial	strategy	p
discrete	7	14	0	0.0
discrete	7	14	1	0.0
discrete	7	14	2	0.0
discrete	7	14	3	1.0
discrete	7	15	0	0.0
discrete	7	15	1	0.0
discrete	7	15	2	0.0
discrete	7	15	3	1.0
discrete	7	16	0	0.0
discrete	7	16	1	0.0
discrete	7	16	2	0.0
discrete	7	16	3	1.0
discrete	7	17	0	0.0
discrete	7	17	1	0.0
discrete	7	17	2	0.0
discrete	7	17	3	1.0
discrete	7	18	0	0.0
discrete	7	18	1	0.0
discrete	7	18	2	0.0
discrete	7	18	3	1.0
discrete	7	19	0	0.0
discrete	7	19	1	0.0
discrete	7	19	2	0.0
discrete	7	19	3	1.0
discrete	7	20	0	0.0
discrete	7	20	1	0.0
discrete	7	20	2	0.0
discrete	7	20	3	1.0
discrete	7	21	0	0.0
discrete	7	21	1	0.0
discrete	7	21	2	0.0
discrete	7	21	3	1.0
discrete	7	22	0	0.0
discrete	7	22	1	0.0
discrete	7	22	2	0.0
discrete	7	22	3	1.0
discrete	7	23	0	0.0
discrete	7	23	1	0.0
discrete	7	23	2	0.0
discrete	7	23	3	1.0
discrete	7	24	0	0.0
discrete	7	24	1	0.0
discrete	7	24	2	0.0
discrete	7	24	3	1.0
discrete	8	0	0	0.0
discrete	8	0	1	0.0
discrete	8	0	2	1.0
discrete	8	0	3	0.0
discrete	8	1	0	0.0
discrete	8	1	1	0.0
discrete	8	1	2	1.0
discrete	8	1	3	0.0
discrete	8	2	0	0.0
discrete	8	2	1	0.0
discrete	8	2	2	1.0
discrete	8	2	3	0.0
discrete	8	3	0	0.0
discrete	8	3	1	0.0
discrete	8	3	2	1.0
discrete	8	3	3	0.0
discrete	8	4	0	0.0
discrete	8	4	1	0.0
discrete	8	4	2	0.0
discrete	8	4	3	1.0
discrete	8	5	0	0.0
discrete	8	5	1	0.0
discrete	8	5	2	0.0
discrete	8	5	3	1.0
discrete	8	6	0	0.0
discrete	8	6	1	0.0
discrete	8	6	2	0.0
discrete	8	6	3	1.0
discrete	8	7	0	0.0
discrete	8	7	1	0.0
discrete	8	7	2	0.0
discrete	8	7	3	1.0
discrete	8	8	0	0.0
discrete	8	8	1	0.0
discrete	8	8	2	0.0
discrete	8	8	3	1.0
discrete	8	9	0	0.0
discrete	8	9	1	0.0
discrete	8	9	2	0.0
discrete	8	9	3	1.0
discrete	8	10	0	0.0
discrete	8	10	1	0.0
discrete	8	10	2	0.0
discrete	8	10	3	1.0
discrete	8	11	0	0.0
discrete	8	11	1	0.0
discrete	8	11	2	0.0
discrete	8	11	3	1.0
discrete	8	12	0	0.0
discrete	8	12	1	0.0
discrete	8	12	2	0.0
discrete	8	12	3	1.0
discrete	8	13	0	0.0
discrete	8	13	1	0.0
discrete	8	13	2	0.0
discrete	8	13	3	1.0
discrete	8	14	0	0.0
discrete	8	14	1	0.0
discrete	8	14	2	0.0
discrete	8	14	3	1.0
discrete	8	15	0	0.0
discrete	8	15	1	0.0
discrete	8	15	2	0.0
discrete	8	15	3	1.0
discrete	8	16	0	0.0
discrete	8	16	1	0.0
discrete	8	16	2	0.0
discrete	8	16	3	1.0
discrete	8	17	0	0.0
discrete	8	17	1	0.0
discrete	8	17	2	0.0
discrete	8	17	3	1.0
discrete	8	18	0	0.0
discrete	8	18	1	0.0
discrete	8	18	2	0.0
discrete	8	18	3	1.0
discrete	8	19	0	0.0
discrete	8	19	1	0.0
discrete	8	19	2	0.0
discrete	8	19	3	1.0
discrete	8	20	0	0.0
discrete	8	20	1	0.0
discrete	8	20	2	0.0
discrete	8	20	3	1.0
discrete	8	21	0	0.0
discrete	8	21	1	0.0
discrete	8	21	2	0.0
discrete	8	21	3	1.0
discrete	8	22	0	0.0
discrete	8	22	1	0.0
discrete	8	22	2	0.0
discrete	8	22	3	1.0
discrete	8	23	0	0.0
discrete	8	23	1	0.0
discrete	8	23	2	0.0
discrete	8	23	3	1.0
discrete	8	24	0	0.0
discrete	8	24	1	0.0
discrete	8	24	2	0.0
discrete	8	24	3	1.0
discrete	9	0	0	0.0
discrete	9	0	1	0.0
discrete	9	0	2	0.0
discrete	9	0	3	1.0
discrete	9	1	0	0.0
discrete	9	1	1	0.0
discrete	9	1	2	0.0
discrete	9	1	3	1.0
discrete	9	2	0	0.0
discrete	9	2	1	0.0
discrete	9	2	2	0.0
discrete	9	2	3	1.0
discrete	9	3	0	0.0
discrete	9	3	1	0.0
discrete	9	3	2	0.0
discrete	9	3	3	1.0
discrete	9	4	0	0.0
discrete	9	4	1	0.0
discrete	9	4	2	0.0
discrete	9	4	3	1.0
discrete	9	5	0	0.0
discrete	9	5	1	0.0
discrete	9	5	2	0.0
discrete	9	5	3	1.0
