sim	trial	strategy	p_actual	p_predicted
7	12	3	1.0	0.9999527
7	13	0	0.0	0.0
7	13	1	0.0	8.08258e-18
7	13	2	0.0	2.9253984e-05
7	13	3	1.0	0.9999707
7	14	0	0.0	0.0
7	14	1	0.0	8.356845e-19
7	14	2	0.0	2.1972386e-05
7	14	3	1.0	0.999978
7	15	0	0.0	0.0
7	15	1	0.0	8.8335186e-20
7	15	2	0.0	1.9026698e-05
7	15	3	1.0	0.9999809
7	16	0	0.0	0.0
7	16	1	0.0	4.7563293e-21
7	16	2	0.0	1.7835056e-05
7	16	3	1.0	0.9999821
7	17	0	0.0	0.0
7	17	1	0.0	2.7499608e-22
7	17	2	0.0	7.80801e-06
7	17	3	1.0	0.99999213
7	18	0	0.0	0.0
7	18	1	0.0	1.8677637e-23
7	18	2	0.0	3.7516863e-06
7	18	3	1.0	0.9999962
7	19	0	0.0	0.0
7	19	1	0.0	1.5461997e-24
7	19	2	0.0	2.1107487e-06
7	19	3	1.0	0.99999785
7	20	0	0.0	0.0
7	20	1	0.0	1.5156102e-25
7	20	2	0.0	1.4469268e-06
7	20	3	1.0	0.9999985
7	21	0	0.0	0.0
7	21	1	0.0	1.6442558e-26
7	21	2	0.0	1.1783857e-06
7	21	3	1.0	0.9999988
7	22	0	0.0	0.0
7	22	1	0.0	1.8196124e-27
7	22	2	0.0	1.0697504e-06
7	22	3	1.0	0.9999989
7	23	0	0.0	0.0
7	23	1	0.0	1.456874e-28
7	23	2	0.0	1.0258033e-06
7	23	3	1.0	0.9999989
7	24	0	0.0	0.0
7	24	1	0.0	1.6388991e-29
7	24	2	0.0	6.5601165e-07
7	24	3	1.0	0.9999993
8	0	0	0.0	0.0137811685
8	0	1	0.0	0.2536054
8	0	2	1.0	0.73250186
8	0	3	0.0	0.000111423324
8	1	0	0.0	4.201035e-06
8	1	1	0.0	0.043726638
8	1	2	1.0	0.9559361
8	1	3	0.0	0.00033303248
8	2	0	0.0	1.2722688e-09
8	2	1	0.0	0.0052202777
8	2	2	1.0	0.99433017
8	2	3	0.0	0.0004494182
8	3	0	0.0	3.848966e-13
8	3	1	0.0	0.0006185634
8	3	2	1.0	0.99791384
8	3	3	0.0	0.0014674626
8	4	0	0.0	1.1141938e-16
8	4	1	0.0	7.322707e-05
8	4	2	1.0	0.9898539
8	4	3	0.0	0.010072745
8	5	0	0.0	2.597109e-20
